Age,Physical Health (ADL),Mental Health (1-5),Previous District Leader's Intervention,Received Government Support,Community Engagement,Making Ends Meet,Living Situation,Overall Wellbeing
88,2,3,No,No,High,Struggling,With Spouse,Medium
67,3,3,No,Yes,Medium,Comfortable,Alone,Medium
60,1,3,No,Yes,Medium,Struggling,Assisted Living,Low
62,1,2,Yes,Yes,High,Struggling,With Spouse,Low
83,1,2,No,No,Low,Manageable,With Spouse,Low
82,3,5,No,No,High,Manageable,With Spouse,High
67,3,3,No,Yes,Low,Struggling,Alone,Low
62,4,2,No,No,Medium,Manageable,With Family,Medium
92,2,1,No,No,High,Manageable,Alone,Low
87,4,5,Yes,Yes,High,Comfortable,Alone,Medium
67,2,4,No,Yes,Low,Manageable,With Family,Medium
93,3,5,No,Yes,High,Struggling,With Spouse,Medium
94,3,4,No,No,High,Struggling,With Family,Medium
91,4,3,No,Yes,High,Comfortable,With Family,High
83,5,4,No,No,Medium,Struggling,With Spouse,Medium
73,4,3,No,Yes,Medium,Manageable,With Family,High
91,2,1,Yes,No,High,Struggling,Alone,Low
75,4,4,No,Yes,High,Comfortable,With Family,High
63,1,5,No,Yes,High,Comfortable,With Spouse,High
80,2,3,No,No,High,Struggling,With Spouse,Medium
73,2,5,No,No,Medium,Manageable,With Family,High
90,5,2,No,No,Medium,Comfortable,Assisted Living,Medium
77,3,3,Yes,Yes,High,Manageable,Assisted Living,Medium
66,2,4,No,No,High,Struggling,With Family,Medium
69,3,3,No,Yes,High,Struggling,With Spouse,Medium
66,4,5,No,Yes,Low,Manageable,With Spouse,High
92,1,1,No,Yes,Low,Manageable,With Spouse,Low
82,5,3,Yes,Yes,Low,Manageable,With Family,Medium
